,ID,entrez_id
1328,DB00162,1592
1329,DB00162,83758
1330,DB00162,116362
1331,DB00162,5950
1332,DB00162,5948
1333,DB00162,213
1334,DB00163,8856
1335,DB00163,5579
1336,DB00163,240
1337,DB00163,5578
1338,DB00163,1606
1339,DB00163,5516
1340,DB00163,5515
1341,DB00163,284904
1342,DB00163,266629
1343,DB00163,23541
1344,DB00163,2939
1345,DB00163,2950
1346,DB00163,9446
1347,DB00163,2947
1348,DB00163,2729
1349,DB00163,1728
1350,DB00163,3162
1351,DB00163,6647
1352,DB00163,1576
1353,DB00163,949
1354,DB00163,19
1355,DB00163,29881
1356,DB00163,9619
1357,DB00163,7274
1358,DB00163,23541
1359,DB00163,266629
1360,DB00165,8566
1361,DB00165,1543
1362,DB00166,51601
1363,DB00166,11019
1364,DB00166,8884
1365,DB00166,5447
1366,DB00167,55699
1367,DB00167,36
1368,DB00167,586
1369,DB00167,587
1370,DB00167,
1371,DB00167,117247
1372,DB00168,7442
1373,DB00168,80834
1374,DB00168,83756
1375,DB00168,9356
1376,DB00168,9376
1377,DB00168,55867
1378,DB00169,7421
1379,DB00169,120227
1380,DB00169,1593
1381,DB00169,1573
1382,DB00169,1576
1383,DB00169,1583
1384,DB00169,1543
1385,DB00169,1555
